date,code,open,high,low,close
4/9/2018,801760,876.6,883.4,870.89,875.99
4/4/2018,801760,892.79,894.36,878.08,878.62
4/3/2018,801760,896.23,896.25,881.71,890.42
4/2/2018,801760,915.18,916.75,906.26,908.58
3/30/2018,801760,900.6,912.04,900.07,911.97
3/29/2018,801760,901.5,903.61,891.31,897.42
3/28/2018,801760,894.05,904.64,892.49,898.87
3/27/2018,801760,890.63,908.65,890.54,906.54
3/26/2018,801760,857.35,883.65,850.92,883.65
3/23/2018,801760,891.29,899.18,857.64,869.29
3/22/2018,801760,915.45,926.09,911.57,918.13
3/21/2018,801760,929.07,935.59,913.84,914.84
3/20/2018,801760,919.99,930.14,914.34,930.13
3/19/2018,801760,925.84,936.13,922.22,927.22
3/16/2018,801760,930.82,937.3,925.6,925.62
3/15/2018,801760,929.84,935.14,919.04,933.62
3/14/2018,801760,942.86,946.69,934.08,934.55
3/13/2018,801760,949.8,958,944.09,946.23
3/12/2018,801760,939.28,952.12,938.66,952.1
3/9/2018,801760,908.77,934.49,908.62,933.03
3/8/2018,801760,904.58,908.71,901.9,907.09
3/7/2018,801760,913.99,914.89,903.88,904.94
3/6/2018,801760,912.31,918.54,911.58,915.71
3/5/2018,801760,906.6,912.14,899.56,912.14
3/2/2018,801760,905.56,913.87,902.96,906.66
3/1/2018,801760,892.41,912.45,890.18,912.43
2/28/2018,801760,887.96,906.59,883.78,898.67
2/27/2018,801760,882.39,898.08,880.81,896.38
2/26/2018,801760,865.81,884.74,863.78,883.22
2/23/2018,801760,866.59,869.4,857.43,861.67
2/22/2018,801760,861.01,871.71,857.29,867.94
2/14/2018,801760,852.46,854.56,847.58,850.05
2/13/2018,801760,859.22,865.24,851.27,853.1
2/12/2018,801760,840.02,861.16,837.96,858.01
2/9/2018,801760,843.85,851.34,827.82,836.49
2/8/2018,801760,856.53,873.66,855.95,866.72
2/7/2018,801760,865.69,869.97,841.98,861.57
2/6/2018,801760,872.57,883.61,851.88,852.96
2/5/2018,801760,883.69,893.7,882.08,891.02
2/2/2018,801760,885.6,904.35,878.47,897.45
2/1/2018,801760,916.69,918.34,892.92,893.09
1/31/2018,801760,934.21,934.23,917.56,917.88
1/30/2018,801760,949.03,952.69,943.02,944.81
1/29/2018,801760,962.72,965.03,947.72,953.62
1/26/2018,801760,962.29,970.56,961.59,966.84
1/25/2018,801760,967.41,989.45,966.3,966.56
1/24/2018,801760,940.12,971.17,936.53,970.17
1/23/2018,801760,939.41,946.18,938.63,945.1
1/22/2018,801760,916,943.03,911.09,939.62
1/19/2018,801760,918.89,921.8,916.48,916.91
1/18/2018,801760,917.86,924.15,917.86,918.72
1/17/2018,801760,913.69,923.49,904.7,922.17
1/16/2018,801760,908.41,915.75,908.41,915.75
1/15/2018,801760,929.98,930,908.35,911.29
1/12/2018,801760,939.55,942.81,935.31,935.7
1/11/2018,801760,928.57,940.2,925.64,938.4
1/10/2018,801760,930.44,930.75,922.76,928.79
1/9/2018,801760,931.45,931.5,926.14,930.42
1/8/2018,801760,935.05,935.07,928.4,933.07
1/5/2018,801760,934.56,938.18,934.33,935.9
1/4/2018,801760,936.95,936.95,932.21,934.39
1/3/2018,801760,933.41,938.56,930.98,937.88
1/2/2018,801760,929.12,935.32,929.08,934.33
12/29/2017,801760,923.4,928.85,920.76,928.83
12/28/2017,801760,913.67,926.75,912.48,924.89
12/27/2017,801760,922.07,922.79,913.56,916.4
12/26/2017,801760,920.13,924.22,913.92,924.22
12/25/2017,801760,934.83,935.58,919.07,920.89
12/22/2017,801760,938.53,939.36,934.1,935.07
12/21/2017,801760,938.51,941.74,931.46,940.07
12/20/2017,801760,952.28,952.44,940.29,940.72
12/19/2017,801760,947.1,954.44,947.08,953.26
12/18/2017,801760,953.63,953.65,943.96,947.48
12/15/2017,801760,954.06,954.92,948.85,954.12
12/14/2017,801760,955.28,957.89,951.95,954.46
12/13/2017,801760,952.19,955.92,948.76,955.92
12/12/2017,801760,960.6,961.65,953.21,953.22
12/11/2017,801760,951.61,962.58,951.58,960.3
12/8/2017,801760,940.23,950.36,940.22,949.31
12/7/2017,801760,937.79,945.2,936.83,941.57
12/6/2017,801760,927.58,941.23,924.57,941.18
12/5/2017,801760,944.03,948.3,923.67,928.9
12/4/2017,801760,956.02,956.69,946.2,946.61
12/1/2017,801760,940.46,958.96,940.38,958.25
11/30/2017,801760,943.85,947.3,938.42,940.68
11/29/2017,801760,951.49,952.14,937.65,946.08
11/28/2017,801760,941.95,952.76,941.81,952.76
11/27/2017,801760,953.17,953.21,941.12,942.34
11/24/2017,801760,947.24,955.62,947.21,952.71
11/23/2017,801760,967.01,969.28,950.37,950.44
11/22/2017,801760,967.91,970.9,962.48,970
11/21/2017,801760,963.23,969.85,961.56,967.98
11/20/2017,801760,954.85,963.11,941.75,963.11
11/17/2017,801760,985.9,985.94,957.61,959.14
11/16/2017,801760,987.43,992.99,985.11,986.2
11/15/2017,801760,994.38,995.49,985.16,989.16
11/14/2017,801760,1005.96,1006,992.56,996.3
11/13/2017,801760,1012.6,1013.94,1005.23,1006.82
11/10/2017,801760,1011.92,1015.53,1008.74,1012.45
11/9/2017,801760,1010.11,1012.47,1008.35,1011.91
11/8/2017,801760,1001.01,1017.63,999.96,1012.36
11/7/2017,801760,994.06,1001.1,992.82,1000.94
11/6/2017,801760,986.72,993.81,984.76,993.79
11/3/2017,801760,995.82,999.07,985.07,989.36
11/2/2017,801760,1000.31,1000.31,993,993.39
11/1/2017,801760,1002.08,1005.69,1000.29,1001.41
10/31/2017,801760,997.37,1001.79,996.32,1001.78
10/30/2017,801760,1026.34,1026.46,995.92,998.58
10/27/2017,801760,1033.01,1035,1027.25,1028.04
10/26/2017,801760,1032.72,1035.46,1029.29,1034.58
10/25/2017,801760,1028.06,1032.85,1026.02,1032.83
10/24/2017,801760,1032.75,1032.84,1022.38,1029.23
10/23/2017,801760,1029.52,1034.35,1028.7,1034.35
10/20/2017,801760,1015.49,1030.01,1013.88,1029.98
10/19/2017,801760,1023.34,1025.17,1014.33,1015.4
10/18/2017,801760,1032.01,1034.44,1023.73,1023.92
10/17/2017,801760,1031.62,1035.57,1027.9,1030.46
10/16/2017,801760,1053.55,1053.9,1032.84,1032.84
10/13/2017,801760,1050.32,1055.14,1048.32,1055.02
10/12/2017,801760,1051.17,1054.5,1043.74,1050.45
10/11/2017,801760,1053.31,1058.62,1052.04,1052.54
10/10/2017,801760,1036.71,1051.76,1035.92,1051.76
10/9/2017,801760,1035.85,1039.3,1028.63,1036.91
9/29/2017,801760,1020.46,1027.02,1020.45,1026.51
9/28/2017,801760,1023.59,1026.11,1020.68,1020.68
9/27/2017,801760,1020.89,1024.79,1020.78,1023.77
9/26/2017,801760,1021.09,1023.86,1015.24,1020.88
9/25/2017,801760,1032.38,1033.44,1020.88,1021.96
9/22/2017,801760,1036.38,1036.4,1029.7,1034.25
9/21/2017,801760,1050.74,1052.4,1038.91,1038.93
9/20/2017,801760,1046.44,1050.97,1044.08,1050.97
9/19/2017,801760,1052.09,1053.37,1045.82,1047.46
9/18/2017,801760,1045.95,1051.68,1044.86,1051.68
9/15/2017,801760,1048.32,1048.96,1043.24,1047.04
9/14/2017,801760,1048.16,1052.48,1045.3,1048.96
9/13/2017,801760,1046.37,1049.42,1044.33,1048.51
9/12/2017,801760,1058.33,1058.52,1047.37,1047.77
9/11/2017,801760,1053.43,1057.59,1051.64,1057.59
9/8/2017,801760,1054.88,1058.05,1048.82,1053.13
9/7/2017,801760,1058.14,1064.73,1054.1,1054.88
9/6/2017,801760,1049.3,1057.27,1046.08,1057.27
9/5/2017,801760,1053.94,1055.23,1048.51,1051.1
9/4/2017,801760,1047.95,1054.59,1045.41,1053.22
9/1/2017,801760,1044.05,1049.01,1039.91,1048.43
8/31/2017,801760,1039.22,1043.24,1038.55,1043.24
8/30/2017,801760,1036.6,1041.38,1036.51,1038.3
8/29/2017,801760,1038.18,1041.53,1034.82,1036.82
8/28/2017,801760,1027.28,1042.83,1024.38,1039.24
